parent_hashtag;Instagram_auto_desc;post_date
climate;"tree, grass and text that says '""Human nature is an ideological construct that makes the current organization of society our 'systems') seem natural, and prevents us from doing the hard work of redistributing power and building new systems."" Dr. Genevieve Guenther MONARCH GARDENS MONARCHGARD.COM'.";2022-03-11
climate;nature, body of water and tree.;2022-03-04
climate;bridge.;2022-03-12
climate;skyscraper.;2022-03-09
climate;map and text that says 'Land elevation (m) Ocean depth m) 1000 2000 7000 600'.;2022-03-09
climate;car and outdoors.;2022-03-09
climate;car and outdoors.;2022-03-11
climate;Photo by Ruben L. Oppenheimer on March 10, 2022. May be an illustration.;2022-03-10
climate;"sky, body of water and text that says '""Temporarily exceeding global warming of 1.5°℃ will result in severe impacts for nature, [...] some irreversible"" RescuePlanetLife Save our Planet *New IPCC report'.";2022-03-12
climatechange;Photo by Fabio Forcinelli on March 10, 2022.;2022-03-10
climatechange;text that says 'NON-STICK PAN MATERIALS BEST Cast iron Carbon steel Stainless steel BETTER Ceramic coated NOT RECOMMENDED ·PFOA free Teflon (PT) Nonstick coating BECAUSE/HEALTH'.;2022-03-10
2658575336407781473;food and text that says 'Reduce your foodprint. Each time you choose to eat plant foods instead of animals, you save water, soil and animal habitat, you protect the world from climate change, and you save an animal's life. What is your food's footprint? VeganStreet.com com veganstreet patreon.'.;2022-03-11
climatechange;horse, outdoors and text.;2022-03-11
climatechange;sky and text that says 'Who benefits from environmentally harmful subsidies? $620฿ Fossil Fuel Industry $520฿ Agricultural Industry'.;2022-03-12
climatechange;bicycle and text that says 'This Machine. Fights Oil Wars'.;2022-03-11
climatechange;"text that says 'Adrian Pietrzak @zoningwonk Mar 8 The small price ""freedom:"" climate change, asthma, crashes, lung cancer, increased dementia risk, billions $$$ highway expansion& upkeep, lost time in traffic, deforestation from sprawl, wars over oil, demolished communities, politics totally dependent on gas prices... Brent Toderian @BrentToderian Mar It's still amazing me that we ourselves be tricked into buying that THIS is what ""freedom"" looks like. #cardependency'.";2022-03-11
climatechange;text that says 'When you ride ALONE you ride with Putin! Carpool, auoid unnecessary car trips, use transit, walk, or ride a bike TODAY!'.;2022-03-11
climatechange;"text that says 'i:lai driskel @e_d_driscoll Oil crisis? Reduce speed limits; reduce public transport fares; eliminate tax on bicycles, electric bicycles, electric scooter; make cycling, walking, scootering easier and safer everywhere'.";2022-03-11
climatechange;text that says 'Jamie Sayers @J16Sayers Mar 7 Just a reminder.. Diesel Super Super Plus 1460 1560 1560 ക 0000'.;2022-03-11
climatechange;text that says 'Drew Bauer @kafkatzie now that we see how reliant we are on other energy resources, maybe we should build our cities to be more efficient with how we travel using better public transportation and cycling infrastructure. #climate #energy #economy #construction #energycrisis'.;2022-03-11
climatechange;Photo by Cyclista Zine on March 11, 2022. May be a cartoon of text that says 'NO EXIT Andy Singer TRANSPORTATION POLICY... পররញ BEGETS ENERGY POLICY... BEGETS FOREIGN POLICY... aitn'.;2022-03-11
climatechange;text that says 'Adrian Pietrzak @zoningwonk Every oil crisis is an opportunity to reduce our oil dependence with proven methods: running more trains, more buses, and building housing near transit. Not gonna happen by waiting patiently for every Ford F-150 driver to go electric Javier Blas @JavierBlas CHART OF THE DAY: The Brent crude oil market, since the launch futures June 1988 to today (nominal prices). The high today was $139.13 barrel, still below the all-time high of $147.50 barrel set July 2008. #OOTT #Ukraine ...rentco.. 8:19 PM Mar 2022'.;2022-03-11
climatechange;Photo by Cyclista Zine on March 11, 2022. May be a meme of text that says '၁ I FUCKING LOVE CAR DEPENDENCY /LOVE NOT BEING ABLE TO WALK ORBIKE ANYWHERE AND HAVING NO VIABLE VIABLEMEANS OF PUBLIC TRANSPORTATION mgflip.com'.;2022-03-11
climatechange;text that says 'SpokenTruthRevolution with... @spokentruthrev The US government needs to be held accountable about the Wuhan Lab and the many bio labs (funded by DoD... the CDC/NIH) that are throughout Ukraine. Accountability is required.'.;2022-03-12
climatechange;8 people, people standing and outdoors.;2022-03-13
climatechange;text.;2022-03-13
climateaction;text that says 'The Frontline SaturdaySphere Atmos Atmos Gender & Climate Justice'.;2022-03-05
